,Knowledge,Premise,Hypothesis
50,World knowledge,"Cruz has frequently derided as ""amnesty"" various plans that confer legal status or citizenship on people living in the country illegally.","Cruz has frequently derided as ""amnesty"" various bills that confer legal status or citizenship on people living in the country illegally."
51,World knowledge,"Cruz has frequently derided as ""amnesty"" various bills that confer legal status or citizenship on people living in the country illegally.","Cruz has frequently derided as ""amnesty"" various plans that confer legal status or citizenship on people living in the country illegally."
66,World knowledge,"Cruz has frequently derided as ""amnesty"" any plan that confers legal status or citizenship on people living in the country illegally.","Cruz has frequently derided as ""amnesty"" any bill that confers legal status or citizenship on people living in the country illegally."
67,World knowledge,"Cruz has frequently derided as ""amnesty"" any bill that confers legal status or citizenship on people living in the country illegally.","Cruz has frequently derided as ""amnesty"" any plan that confers legal status or citizenship on people living in the country illegally."
142,World knowledge,Relation extraction systems populate knowledge bases with facts from unstructured text corpora.,Relation extraction systems populate knowledge bases with assertions from unstructured text corpora.
143,World knowledge,Relation extraction systems populate knowledge bases with assertions from unstructured text corpora.,Relation extraction systems populate knowledge bases with facts from unstructured text corpora.
292,World knowledge,The sides came to an agreement after their meeting in Stockholm.,The sides came to an agreement after their meeting in Sweden.
293,World knowledge,The sides came to an agreement after their meeting in Sweden.,The sides came to an agreement after their meeting in Stockholm.
294,World knowledge,The sides came to an agreement after their meeting in Stockholm.,The sides came to an agreement after their meeting in Europe.
295,World knowledge,The sides came to an agreement after their meeting in Europe.,The sides came to an agreement after their meeting in Stockholm.
296,World knowledge,The sides came to an agreement after their meeting in Stockholm.,The sides came to an agreement after their meeting in Oslo.
297,World knowledge,The sides came to an agreement after their meeting in Oslo.,The sides came to an agreement after their meeting in Stockholm.
298,World knowledge,Musk decided to offer up his personal Tesla roadster.,Musk decided to offer up his personal car.
299,World knowledge,Musk decided to offer up his personal car.,Musk decided to offer up his personal Tesla roadster.
300,World knowledge,Musk decided to offer up his personal Tesla roadster.,Musk decided to offer up his personal yacht.
301,World knowledge,Musk decided to offer up his personal yacht.,Musk decided to offer up his personal Tesla roadster.
302,World knowledge,TIL David Attenborough and Queen Elizabeth II are roughly the same age.,TIL David Attenborough and the Queen of England are roughly the same age.
303,World knowledge,TIL David Attenborough and the Queen of England are roughly the same age.,TIL David Attenborough and Queen Elizabeth II are roughly the same age.
304,World knowledge,TIL David Attenborough and Queen Elizabeth II are roughly the same age.,TIL David Attenborough and the Queen of Denmark are roughly the same age.
305,World knowledge,TIL David Attenborough and the Queen of Denmark are roughly the same age.,TIL David Attenborough and Queen Elizabeth II are roughly the same age.
306,World knowledge,"The Sydney area has been inhabited by indigenous Australians for at least 30,000 years.","The Sydney area has been inhabited by Aboriginal people for at least 30,000 years."
307,World knowledge,"The Sydney area has been inhabited by Aboriginal people for at least 30,000 years.","The Sydney area has been inhabited by indigenous Australians for at least 30,000 years."
308,World knowledge,"The Sydney area has been inhabited by indigenous Australians for at least 30,000 years.","The Sydney area has been inhabited by Europeans for at least 30,000 years."
309,World knowledge,"The Sydney area has been inhabited by Europeans for at least 30,000 years.","The Sydney area has been inhabited by indigenous Australians for at least 30,000 years."
310,World knowledge,Deep neural networks have achieved impressive performance in supervised classification and structured prediction tasks.,Deep learning has achieved impressive performance in supervised classification and structured prediction tasks.
311,World knowledge,Deep learning has achieved impressive performance in supervised classification and structured prediction tasks.,Deep neural networks have achieved impressive performance in supervised classification and structured prediction tasks.
312,World knowledge,Deep neural networks have achieved impressive performance in supervised classification and structured prediction tasks.,Decision trees have achieved impressive performance in supervised classification and structured prediction tasks.
313,World knowledge,Decision trees have achieved impressive performance in supervised classification and structured prediction tasks.,Deep neural networks have achieved impressive performance in supervised classification and structured prediction tasks.
432,World knowledge,"The move marks an end to a system put in place by Deng Xiaoping in the 1980s to prevent the rise of another Mao, who was chairman of the Communist Party from before its accession to power in 1949 until his death in 1976.",Deng Xiaoping was chairman of the Communist Party from before its accession to power in 1949 until his death in 1976.
433,World knowledge,Deng Xiaoping was chairman of the Communist Party from before its accession to power in 1949 until his death in 1976.,"The move marks an end to a system put in place by Deng Xiaoping in the 1980s to prevent the rise of another Mao, who was chairman of the Communist Party from before its accession to power in 1949 until his death in 1976."
444,World knowledge,"Party media have since amped up the hagiography, casting Xi as the father of the nation and the man uniquely equipped to lead.","Party media have since amped up the hagiography, casting Xi as the father of the man uniquely equipped to lead."
445,World knowledge,"Party media have since amped up the hagiography, casting Xi as the father of the man uniquely equipped to lead.","Party media have since amped up the hagiography, casting Xi as the father of the nation and the man uniquely equipped to lead."
490,World knowledge,"Gina Haspel, the veteran CIA undercover officer President Donald Trump picked on Tuesday to head the agency, is supported by many in the U.S. intelligence community but has faced criticism for overseeing a secret CIA prison in Thailand where detainees were tortured.","Gina Haspel, the veteran CIA undercover officer President Donald Trump picked on Tuesday to head the agency, is supported by many in the U.S. intelligence community but has faced criticism for overseeing a CIA black site in Thailand where detainees were tortured."
491,World knowledge,"Gina Haspel, the veteran CIA undercover officer President Donald Trump picked on Tuesday to head the agency, is supported by many in the U.S. intelligence community but has faced criticism for overseeing a CIA black site in Thailand where detainees were tortured.","Gina Haspel, the veteran CIA undercover officer President Donald Trump picked on Tuesday to head the agency, is supported by many in the U.S. intelligence community but has faced criticism for overseeing a secret CIA prison in Thailand where detainees were tortured."
520,World knowledge,"As with previous freebies, the games offered in this manner will be yours to keep permanently, though you'll presumably need to use the Twitch desktop app in order to grab them.","As with previous freebies, the games offered in this manner will be yours to keep permanently, though you'll presumably need to use the Twitch desktop app in order to download them."
521,World knowledge,"As with previous freebies, the games offered in this manner will be yours to keep permanently, though you'll presumably need to use the Twitch desktop app in order to download them.","As with previous freebies, the games offered in this manner will be yours to keep permanently, though you'll presumably need to use the Twitch desktop app in order to grab them."
564,World knowledge,The Saudi Embassy in Washington denied to NBC the claims that the princess is separated from her husband or under house arrest.,Representatives of the Saudi government denied to NBC the claims that the princess is separated from her husband or under house arrest.
565,World knowledge,Representatives of the Saudi government denied to NBC the claims that the princess is separated from her husband or under house arrest.,The Saudi Embassy in Washington denied to NBC the claims that the princess is separated from her husband or under house arrest.
566,World knowledge,The Saudi Embassy in Washington denied to NBC the claims that the princess is separated from her husband or under house arrest.,American ambassadors to Riyadh denied to NBC the claims that the princess is separated from her husband or under house arrest.
567,World knowledge,American ambassadors to Riyadh denied to NBC the claims that the princess is separated from her husband or under house arrest.,The Saudi Embassy in Washington denied to NBC the claims that the princess is separated from her husband or under house arrest.
580,World knowledge,Every lunch hour I make it my goal to sift through one research paper.,"Every day around noon, I make it my goal to sift through one research paper."
581,World knowledge,"Every day around noon, I make it my goal to sift through one research paper.",Every lunch hour I make it my goal to sift through one research paper.
588,World knowledge,David Tennant is the best Doctor in the series.,David Tennant is the best Doctor in the Doctor Who series.
589,World knowledge,David Tennant is the best Doctor in the Doctor Who series.,David Tennant is the best Doctor in the series.
590,World knowledge,David Tennant is the best Doctor in the series.,"David Tennant is the best Doctor in the House, M.D. series."
591,World knowledge,"David Tennant is the best Doctor in the House, M.D. series.",David Tennant is the best Doctor in the series.
592,World knowledge,"Fun fact, that guy in the Ireland jacket is on SNL now.","Fun fact, that guy in the Ireland jacket is on Saturday Night Live now."
593,World knowledge,"Fun fact, that guy in the Ireland jacket is on Saturday Night Live now.","Fun fact, that guy in the Ireland jacket is on SNL now."
670,World knowledge,I think this was part of the last season of Bojack Horseman.,I think this was part of the last episode of Bojack Horseman.
671,World knowledge,I think this was part of the last episode of Bojack Horseman.,I think this was part of the last season of Bojack Horseman.
674,World knowledge,This is honestly the most oniony article I've seen on the entire internet.,This article reads like satire.
675,World knowledge,This article reads like satire.,This is honestly the most oniony article I've seen on the entire internet.
686,World knowledge,There was a book I was trying to import and I saw that it was finally available with Amazon Prime shipping and I ended up paying like double the other prices to have it in 2 days vs. 2 weeks.,I waited until Prime availability and paid a higher sticker price for a book so I could get free 2-day shipping.
687,World knowledge,I waited until Prime availability and paid a higher sticker price for a book so I could get free 2-day shipping.,There was a book I was trying to import and I saw that it was finally available with Amazon Prime shipping and I ended up paying like double the other prices to have it in 2 days vs. 2 weeks.
688,World knowledge,There was a book I was trying to import and I saw that it was finally available with Amazon Prime shipping and I ended up paying like double the other prices to have it in 2 days vs. 2 weeks.,I waited until Prime availability and paid a higher Shipping & Handling fee to have a book in 2 days vs. 2 weeks. 
689,World knowledge,I waited until Prime availability and paid a higher Shipping & Handling fee to have a book in 2 days vs. 2 weeks. ,There was a book I was trying to import and I saw that it was finally available with Amazon Prime shipping and I ended up paying like double the other prices to have it in 2 days vs. 2 weeks.
690,World knowledge,Supply and demand... scarcity... all these economic principles that determine the cost of things really boil down to the value of human labor.,The Labor Theory of Value is at the heart of the economics of cost.
691,World knowledge,The Labor Theory of Value is at the heart of the economics of cost.,Supply and demand... scarcity... all these economic principles that determine the cost of things really boil down to the value of human labor.
692,World knowledge,Supply and demand... scarcity... all these economic principles that determine the cost of things really boil down to the value of human labor.,The Labor Theory of Value is a scarce determinant of the economics of cost.
693,World knowledge,The Labor Theory of Value is a scarce determinant of the economics of cost.,Supply and demand... scarcity... all these economic principles that determine the cost of things really boil down to the value of human labor.
694,World knowledge,Supply and demand... scarcity... all these economic principles that determine the cost of things really boil down to the value of human labor.,Supply and demand... scarcity... all these economic principles that determine the cost of things are related to the value of human labor.
695,World knowledge,Supply and demand... scarcity... all these economic principles that determine the cost of things are related to the value of human labor.,Supply and demand... scarcity... all these economic principles that determine the cost of things really boil down to the value of human labor.
702,World knowledge,"He stayed in England until November 1918, when he again took up his YMCA duties, establishing a rest hut and library in Cologne.","He stayed in England until November 1918, when he again took up his YMCA duties, establishing a rest hut and library in Germany."
703,World knowledge,"He stayed in England until November 1918, when he again took up his YMCA duties, establishing a rest hut and library in Germany.","He stayed in England until November 1918, when he again took up his YMCA duties, establishing a rest hut and library in Cologne."
