"Name","State","Tags","Runtime","Created","lm","pattern","avg_consistency_by_edge_out","avg_entropy","both_consistency","both_edges","consistency","consistent_subjects","group-unacc","knowledgable_consistency","lama_acc","lama_group_acc","lexical_consistency","lexical_edges","n_patterns","no_change_consistency","std_entropy","successful_patterns","successful_subjects","syntactic_consistency","syntactic_edges","total","total_both","total_lex","total_no","total_syn","unknowledgable_consistency"
"P937_consistency_probe_bert-base-cased","finished","P937, probe","230","2021-12-05T18:59:14.000Z","bert-base-cased","P937","0.8045624032952419","0.2486896435985745","0.8054895750857746","18","0.8040380047505938","0.649643705463183","0.30363423212192264","0.8252358490566037","0.4279015240328254","0.34349355216881594","0.7909738717339667","2","5","-1","0.3957089725539232","1","0.503562945368171","-1","0","16840","15156","1684","0","0","0.7825358851674641"
"P740_consistency_probe_bert-base-cased","finished","P740, probe","618","2021-12-05T18:48:51.000Z","bert-base-cased","P740","0.4899532759544863","0.665551055758429","0.4727621133315083","52","0.48227810149518335","0.06287069988137604","0.03440094899169632","0.570323167956304","0.1103202846975089","0.02846975088967971","0.495017793594306","40","14","-1","0.3345768233621286","1","0.20047449584816132","-1","0","153426","43836","33720","0","0","0.46020151954870053"
"P937_consistency_probe_bert-base-uncased","finished","P937, probe","225","2021-12-05T18:44:24.000Z","bert-base-uncased","P937","1","0","1","18","1","1","0.6072684642438453","1","0","0","1","2","5","-1","0","1","0.0011876484560570072","-1","0","16840","15156","1684","0","0","1"
"P530_consistency_probe_bert-base-cased","finished","P530, probe","441","2021-12-05T18:41:24.000Z","bert-base-cased","P530","0.34256421605823023","0.6378114962296175","0.2438423645320197","14","0.32646871008939976","0.017241379310344827","0.008421052631578947","0.3","0.030526315789473683","0.002105263157894737","0.5509031198686372","14","9","-1","0.3690911862595558","1","0.14367816091954022","0.2629310344827586","8","12528","2436","2436","0","1392","0.3309097688292319"
"P527_consistency_probe_bert-base-cased","failed","P527, probe","14","2021-12-05T18:41:06.000Z","bert-base-cased","P527","","","","","","","","","","","","","","","","","","","","","","","","",""
"P740_consistency_probe_bert-base-uncased","finished","P740, probe","611","2021-12-05T18:34:09.000Z","bert-base-uncased","P740","1","0","1","52","1","1","0.08540925266903915","0","0","0","1","40","14","-1","0","0","0","-1","0","153426","43836","33720","0","0","1"
"P495_consistency_probe_bert-base-cased","finished","P495, probe","794","2021-12-05T18:27:48.000Z","bert-base-cased","P495","0.6261583906044351","0.4861026902872663","0.5923467715503113","108","0.623348841749089","0.2997787610619469","0.07845303867403315","0.7139770381836945","0.3756906077348066","0.22209944751381216","0.6730189058728882","44","17","-1","0.3997511683426421","1","0.504424778761062","-1","0","245888","97632","39776","0","0","0.5311022846638656"
"P530_consistency_probe_bert-base-uncased","finished","P530, probe","410","2021-12-05T18:27:15.000Z","bert-base-uncased","P530","1","0","1","14","1","1","0.00631578947368421","0","0","0","1","14","9","-1","0","0","0","1","8","12528","2436","2436","0","1392","1"
"P527_consistency_probe_bert-base-uncased","failed","P527, probe","14","2021-12-05T18:26:57.000Z","bert-base-uncased","P527","","","","","","","","","","","","","","","","","","","","","","","","",""
"P47_consistency_probe_bert-base-cased","finished","P47, probe","340","2021-12-05T18:22:04.000Z","bert-base-cased","P47","0.5553954849671492","0.6033833545666099","0.42596810933940776","4","0.535876993166287","0.1184510250569476","0.08166409861325115","0.5067750677506775","0.18952234206471497","0.032357473035439135","-1","0","9","-1","0.3650679590123202","1","0.3735763097949886","0.46070615034168566","8","31608","1756","0","0","3512","0.5532323232323232"
"P463_consistency_probe_bert-base-cased","finished","P463, probe","95","2021-12-05T18:20:25.000Z","bert-base-cased","P463","0.7596167925721324","0.16318886929020085","0.8341708542713567","2","0.7587939698492462","0.6834170854271356","0","0.8448275862068966","0.8226600985221675","0.6699507389162561","-1","0","5","-1","0.3472106427382909","1","0.8743718592964824","-1","0","3980","398","0","0","0","0.16"
"P495_consistency_probe_bert-base-uncased","finished","P495, probe","729","2021-12-05T18:14:44.000Z","bert-base-uncased","P495","1","0","1","108","1","1","0.2718232044198895","0","0","0","1","44","17","-1","0","0","0","-1","0","245888","97632","39776","0","0","1"
"P449_consistency_probe_bert-base-cased","finished","P449, probe","482","2021-12-05T18:12:18.000Z","bert-base-cased","P449","0.22447984823148132","0.5857428342578421","0.20761063381423245","62","0.21717679305619003","0.002512562814070352","0","0.2265191598524932","0.3383270911360799","0.002496878901373283","0.3036013400335008","6","11","0.3278894472361809","0.3358531126914692","1","0.7123115577889447","0.2663316582914573","4","87560","49352","4776","1592","3184","0.19404525605398967"
"P47_consistency_probe_bert-base-uncased","finished","P47, probe","324","2021-12-05T18:09:15.000Z","bert-base-uncased","P47","1","0","1","4","1","1","0.08936825885978428","0","0","0","-1","0","9","-1","0","0","0","1","8","31608","1756","0","0","3512","1"
"P463_consistency_probe_bert-base-uncased","finished","P463, probe","87","2021-12-05T18:07:43.000Z","bert-base-uncased","P463","1","0","1","2","1","1","0.6798029556650246","1","0","0","-1","0","5","-1","0","1","0.005025125628140704","-1","0","3980","398","0","0","0","1"
