"Name","State","Tags","Runtime","Created","lm","pattern","avg_consistency_by_edge_out","avg_entropy","both_consistency","both_edges","consistency","consistent_subjects","group-unacc","knowledgable_consistency","lama_acc","lama_group_acc","lexical_consistency","lexical_edges","n_patterns","no_change_consistency","std_entropy","successful_patterns","successful_subjects","syntactic_consistency","syntactic_edges","total","total_both","total_lex","total_no","total_syn","unknowledgable_consistency"
"P937_consistency_probe_../Thesis_code/models/houlsby_original_cased","finished","P937, probe","244","2022-01-13T01:07:11.000Z","../Thesis_code/models/houlsby_original_cased","P937","0.4997550333131984","0.5182411800069938","0.4990762734230667","18","0.4969121140142518","0.1947743467933492","0.19343493552168817","0.34285714285714286","0.010550996483001172","0","0.4774346793349168","2","5","-1","0.4333246796398625","1","0.0166270783847981","-1","0","16840","15156","1684","0","0","0.4995169082125604"
"P740_consistency_probe_../Thesis_code/models/houlsby_original_cased","finished","P740, probe","661","2022-01-13T00:56:05.000Z","../Thesis_code/models/houlsby_original_cased","P740","0.19663186999351","0.5389161848006354","0.20713568756273384","52","0.1861614068019762","0","0","0.20782159017453136","0.002372479240806643","0","0.23291814946619216","40","14","-1","0.3539564160920317","1","0.04033214709371293","-1","0","153426","43836","33720","0","0","0.18525109007185644"
"P530_consistency_probe_../Thesis_code/models/houlsby_original_cased","finished","P530, probe","446","2022-01-13T00:48:35.000Z","../Thesis_code/models/houlsby_original_cased","P530","0.062364194615021185","0.22515736849472537","0.012315270935960592","14","0.05826947637292465","0","0","0.041666666666666664","0.003157894736842105","0","0.15517241379310345","14","9","-1","0.2964604510681704","0.1111111111111111","0.011494252873563218","0.03017241379310345","8","12528","2436","2436","0","1392","0.0584625322997416"
"P527_consistency_probe_../Thesis_code/models/houlsby_original_cased","failed","P527, probe","14","2022-01-13T00:48:16.000Z","../Thesis_code/models/houlsby_original_cased","P527","","","","","","","","","","","","","","","","","","","","","","","","",""
"P495_consistency_probe_../Thesis_code/models/houlsby_original_cased","finished","P495, probe","808","2022-01-13T00:34:43.000Z","../Thesis_code/models/houlsby_original_cased","P495","0.23023491958170952","0.5910200986290789","0.2448992133726647","108","0.22280875845913584","0","0","0.24528186274509803","0.03756906077348066","0","0.3070193081255028","44","17","-1","0.3415396886024364","1","0.13274336283185842","-1","0","245888","97632","39776","0","0","0.2193689975990396"
"P47_consistency_probe_../Thesis_code/models/houlsby_original_cased","finished","P47, probe","339","2022-01-13T00:29:00.000Z","../Thesis_code/models/houlsby_original_cased","P47","0.08414755664898682","0.24453666545357125","0.17198177676537585","4","0.0687800556821058","0","0","0.09777777777777778","0.0015408320493066256","0","-1","0","9","-1","0.3307891355793258","0.8888888888888888","0.05694760820045558","0.021070615034168565","8","31608","1756","0","0","3512","0.06702898550724638"
"P463_consistency_probe_../Thesis_code/models/houlsby_original_cased","finished","P463, probe","90","2022-01-13T00:27:26.000Z","../Thesis_code/models/houlsby_original_cased","P463","0.2992952903202143","0.5707031090627408","0.25125628140703515","2","0.27537688442211056","0.005025125628140704","0","0.236986301369863","0.1330049261083744","0.0049261083743842365","-1","0","5","-1","0.42288850645435594","1","0.36683417085427134","-1","0","3980","398","0","0","0","0.2976190476190476"
"P449_consistency_probe_../Thesis_code/models/houlsby_original_cased","finished","P449, probe","494","2022-01-13T00:19:07.000Z","../Thesis_code/models/houlsby_original_cased","P449","0.44470100009309166","0.6774295848040046","0.4455746474307019","62","0.37236180904522614","0","0","0.3487272727272727","0.017478152309612985","0","0.457286432160804","6","11","0.9095477386934674","0.37160169463886455","1","0.1884422110552764","0.09987437185929648","4","87560","49352","4776","1592","3184","0.3778497044750915"
"P413_consistency_probe_../Thesis_code/models/houlsby_original_cased","finished","P413, probe","291","2022-01-13T00:14:10.000Z","../Thesis_code/models/houlsby_original_cased","P413","0.1167366076075184","0.37090475556869074","0.163515406162465","6","0.12836134453781511","0","0","0.1089820359281437","0.03466386554621849","0","-1","0","6","-1","0.41746769184262994","1","0.17542016806722688","-1","0","19040","5712","0","0","0","0.13248407643312102"
"P407_consistency_probe_../Thesis_code/models/houlsby_original_cased","finished","P407, probe","821","2022-01-13T00:00:22.000Z","../Thesis_code/models/houlsby_original_cased","P407","0.18807262767510907","0.5518421654125955","0.18837124941700784","50","0.18549293376468584","0","0","0.1993073593073593","0.022170361726954493","0","-1","0","18","0.4829161700437028","0.3436641328679859","1","0.1966626936829559","0.037544696066746125","8","176190","38594","0","10068","6712","0.1821110640101738"
"P39_consistency_probe_../Thesis_code/models/houlsby_original_cased","finished","P39, probe","167","2022-01-12T23:57:30.000Z","../Thesis_code/models/houlsby_original_cased","P39","0.7588329935125113","0.34083620487514327","0.7447368421052631","8","0.7571929824561403","0.5073684210526316","0.2865979381443299","0.6971794871794872","0.3917525773195876","0.22268041237113403","0.7778947368421053","4","6","-1","0.4157138256288048","1","0.5473684210526316","-1","0","14250","3800","1900","0","0","0.8297674418604651"
"P37_consistency_probe_../Thesis_code/models/houlsby_original_cased","finished","P37, probe","433","2022-01-12T23:50:12.000Z","../Thesis_code/models/houlsby_original_cased","P37","0.12775109837430065","0.3487373182891986","0.11083413231064236","14","0.11875466070096942","0","0","0.1449805068226121","0.04111111111111111","0.0011111111111111111","0.15033557046979865","6","9","-1","0.37374266884291735","1","0.30604026845637583","0.0476510067114094","4","53640","10430","4470","0","2980","0.10718891038039974"
"P36_consistency_probe_../Thesis_code/models/houlsby_original_cased","finished","P36, probe","389","2022-01-12T23:43:37.000Z","../Thesis_code/models/houlsby_original_cased","P36","0.08249810720206958","0.2739468997569689","0.09595803764270289","28","0.07170151662592267","0","0","0.10087348548887012","0.008492569002123142","0","0.2233878432582536","14","14","-1","0.2987265222758729","1","0.08423326133909287","0.10043196544276456","4","84266","12964","6482","0","1852","0.06901824590503836"
"P364_consistency_probe_../Thesis_code/models/houlsby_original_cased","finished","P364, probe","239","2022-01-12T23:39:33.000Z","../Thesis_code/models/houlsby_original_cased","P364","0.3812993884691375","0.6216910632309964","0.04614873837981408","8","0.31544931385568836","0.010624169986719788","0.006613756613756613","0.3226890756302521","0.03439153439153439","0.003968253968253968","0.6636786188579017","8","6","0.5626383355467021","0.4215430186235775","1","0.15803452855245684","0.05112881806108898","8","22590","6024","6024","4518","6024","0.31409043112513146"
"P361_consistency_probe_../Thesis_code/models/houlsby_original_cased","finished","P361, probe","92","2022-01-12T23:37:56.000Z","../Thesis_code/models/houlsby_original_cased","P361","0.3679775280898877","0","-1","0","0.3679775280898877","0.3679775280898877","0.35254691689008044","0.20689655172413793","0.021447721179624665","0.00938337801608579","-1","0","2","-1","0","1","0.04073033707865169","-1","0","1424","0","0","0","0","0.37481698389458273"
"P31_consistency_probe_../Thesis_code/models/houlsby_original_cased","failed","P31, probe","14","2022-01-12T23:37:37.000Z","../Thesis_code/models/houlsby_original_cased","P31","","","","","","","","","","","","","","","","","","","","","","","","",""
"P30_consistency_probe_../Thesis_code/models/houlsby_original_cased","finished","P30, probe","197","2022-01-12T23:34:15.000Z","../Thesis_code/models/houlsby_original_cased","P30","0.3390738140093728","0.564459273127015","0.47126436781609193","2","0.3331591779867642","0.05747126436781609","0.04483837330552659","0.2862838915470494","0.08133472367049009","0.01251303441084463","-1","0","4","-1","0.4469075161449905","1","0.6551724137931034","-1","0","11484","1914","0","0","0","0.4222222222222222"
"P27_consistency_probe_../Thesis_code/models/houlsby_original_cased","finished","P27, probe","446","2022-01-12T23:26:44.000Z","../Thesis_code/models/houlsby_original_cased","P27","0.2010227601698411","0.47262308917141815","0.20884856271077565","52","0.18589074460681976","0.00104384133611691","0.00104384133611691","0.22538677918424752","0.033402922755741124","0","0.2954070981210856","4","9","-1","0.39683325817384846","1","0.1649269311064718","-1","0","68976","49816","3832","0","0","0.17809027777777778"
