"Name","State","Tags","Runtime","Created","lm","pattern","avg_consistency_by_edge_out","avg_entropy","both_consistency","both_edges","consistency","consistent_subjects","group-unacc","knowledgable_consistency","lama_acc","lama_group_acc","lexical_consistency","lexical_edges","n_patterns","no_change_consistency","std_entropy","successful_patterns","successful_subjects","syntactic_consistency","syntactic_edges","total","total_both","total_lex","total_no","total_syn","unknowledgable_consistency"
"P937_consistency_probe_../Thesis_code/models/houlsby_original_cased","finished","P937, probe","191","2022-01-16T16:02:25.000Z","../Thesis_code/models/houlsby_original_cased","P937","0.7215688127558665","0.34585356873047185","0.7112694642385854","18","0.7186460807600951","0.495249406175772","0.2813599062133646","0.7347457627118644","0.24970691676436108","0.21453692848769051","0.7850356294536817","2","5","-1","0.4276554342546561","1","0.42042755344418054","-1","0","16840","15156","1684","0","0","0.7069672131147541"
"P740_consistency_probe_../Thesis_code/models/houlsby_original_cased","finished","P740, probe","512","2022-01-16T15:53:49.000Z","../Thesis_code/models/houlsby_original_cased","P740","0.5510585982648745","0.6262767327337643","0.4771876996076284","52","0.5287760874949488","0.046263345195729534","0.03795966785290629","0.531959706959707","0.09608540925266904","0.00830367734282325","0.5540332147093713","40","14","-1","0.3235901502149431","1","0.1423487544483986","-1","0","153426","43836","33720","0","0","0.5282476859240345"
"P530_consistency_probe_../Thesis_code/models/houlsby_original_cased","finished","P530, probe","348","2022-01-16T15:47:57.000Z","../Thesis_code/models/houlsby_original_cased","P530","0.3701975542840828","0.7136587458483163","0.3333333333333333","14","0.3598339719029374","0.011494252873563218","0.002105263157894737","0.3763888888888889","0.029473684210526315","0.0010526315789473684","0.6133004926108374","14","9","-1","0.3129983804650672","1","0.11494252873563218","0.375","8","12528","2436","2436","0","1392","0.35768398268398266"
"P527_consistency_probe_../Thesis_code/models/houlsby_original_cased","failed","P527, probe","14","2022-01-16T15:47:39.000Z","../Thesis_code/models/houlsby_original_cased","P527","","","","","","","","","","","","","","","","","","","","","","","","",""
"P495_consistency_probe_../Thesis_code/models/houlsby_original_cased","finished","P495, probe","627","2022-01-16T15:37:08.000Z","../Thesis_code/models/houlsby_original_cased","P495","0.6424071196438189","0.5158810384638254","0.5982259914782039","108","0.6382987376366476","0.22676991150442477","0.07845303867403315","0.7033812246126072","0.312707182320442","0.14806629834254142","0.6969026548672567","44","17","-1","0.3778956662014474","1","0.4325221238938053","-1","0","245888","97632","39776","0","0","0.5886939571150097"
"P47_consistency_probe_../Thesis_code/models/houlsby_original_cased","finished","P47, probe","264","2022-01-16T15:32:39.000Z","../Thesis_code/models/houlsby_original_cased","P47","0.4656890465646312","0.5982245513152318","0.4715261958997722","4","0.46209820298658566","0.1252847380410023","0.08628659476117104","0.4429384203480589","0.11864406779661016","0.02773497688751926","-1","0","9","-1","0.3820148827023045","1","0.37813211845102507","0.4174259681093394","8","31608","1756","0","0","3512","0.4737484737484738"
"P463_consistency_probe_../Thesis_code/models/houlsby_original_cased","finished","P463, probe","71","2022-01-16T15:31:24.000Z","../Thesis_code/models/houlsby_original_cased","P463","0.7771405571547056","0.18933917080643584","0.7135678391959799","2","0.7763819095477387","0.6834170854271356","0.0049261083743842365","0.8647058823529412","0.7192118226600985","0.6650246305418719","-1","0","5","-1","0.37409734334489714","1","0.8542713567839196","-1","0","3980","398","0","0","0","0.25862068965517243"
"P449_consistency_probe_../Thesis_code/models/houlsby_original_cased","finished","P449, probe","375","2022-01-16T15:25:05.000Z","../Thesis_code/models/houlsby_original_cased","P449","0.2661250164185671","0.6732544651057277","0.26880369589884906","62","0.2473047053449063","0","0","0.26448288553551713","0.2172284644194757","0","0.46147403685092125","6","11","0.7449748743718593","0.30477261778298215","1","0.3103015075376884","0.08982412060301508","4","87560","49352","4776","1592","3184","0.23957608875641664"
"P413_consistency_probe_../Thesis_code/models/houlsby_original_cased","finished","P413, probe","226","2022-01-16T15:21:15.000Z","../Thesis_code/models/houlsby_original_cased","P413","0.16790600022617258","0.5036857494276462","0.26330532212885155","6","0.16355042016806723","0","0","0.13120567375886524","0.0021008403361344537","0","-1","0","6","-1","0.402870105822065","1","0.296218487394958","-1","0","19040","5712","0","0","0","0.1771641791044776"
"P407_consistency_probe_../Thesis_code/models/houlsby_original_cased","finished","P407, probe","632","2022-01-16T15:10:38.000Z","../Thesis_code/models/houlsby_original_cased","P407","0.7225460300897673","0.48613589136259455","0.6263149712390527","50","0.6939326863045576","0.1764004767580453","0.01633605600933489","0.7206349206349206","0.6021003500583431","0.056009334889148193","-1","0","18","0.9179578863726658","0.3432184412946487","1","0.797377830750894","0.6564362336114422","8","176190","38594","0","10068","6712","0.5888515406162464"
