"Name","State","Tags","Runtime","Created","lm","pattern","avg_consistency_by_edge_out","avg_entropy","both_consistency","both_edges","consistency","consistent_subjects","group-unacc","knowledgable_consistency","lama_acc","lama_group_acc","lexical_consistency","lexical_edges","n_patterns","no_change_consistency","std_entropy","successful_patterns","successful_subjects","syntactic_consistency","syntactic_edges","total","total_both","total_lex","total_no","total_syn","unknowledgable_consistency"
"P937_consistency_probe_roberta-base","finished","P937, probe","231","2022-01-11T14:47:09.000Z","roberta-base","P937","0.6480436639183981","0.4007754318377998","0.636315650567432","18","0.646437054631829","0.4002375296912114","0.18522860492379836","0.7462235649546828","0.3106682297772567","0.21453692848769051","0.7375296912114014","2","5","-1","0.438431876211033","1","0.39311163895486934","-1","0","16840","15156","1684","0","0","0.5818003913894325"
"P740_consistency_probe_roberta-base","finished","P740, probe","631","2022-01-11T14:36:26.000Z","roberta-base","P740","0.5162099772631815","0.6376000987792697","0.5005474952094169","52","0.5137330048362077","0.10438908659549229","0.0771055753262159","0.5400696864111498","0.10320284697508895","0.027283511269276393","0.5683867141162515","40","14","-1","0.349973695285459","1","0.19454329774614473","-1","0","153426","43836","33720","0","0","0.5073718623055884"
"P530_consistency_probe_roberta-base","finished","P530, probe","418","2022-01-11T14:29:20.000Z","roberta-base","P530","0.3738341525940796","0.6749674335844569","0.24794745484400657","14","0.37292464878671777","0.06321839080459771","0.10526315789473684","0.28703703703703703","0.02421052631578947","0.003157894736842105","0.6510673234811166","14","9","-1","0.3500979007360479","1","0.1206896551724138","0.25287356321839083","8","12528","2436","2436","0","1392","0.38471314451706606"
"P527_consistency_probe_roberta-base","failed","P527, probe","16","2022-01-11T14:28:58.000Z","roberta-base","P527","","","","","","","","","","","","","","","","","","","","","","","","",""
"P495_consistency_probe_roberta-base","finished","P495, probe","746","2022-01-11T14:16:17.000Z","roberta-base","P495","0.584991989024395","0.5444581931821029","0.549594395280236","108","0.5814842529932327","0.2234513274336283","0.06629834254143646","0.6404125723515951","0.3005524861878453","0.1580110497237569","0.6152956556717619","44","17","-1","0.38442922371847554","1","0.4834070796460177","-1","0","245888","97632","39776","0","0","0.5263414787756644"
"P47_consistency_probe_roberta-base","finished","P47, probe","325","2022-01-11T14:10:45.000Z","roberta-base","P47","0.3917497702804091","0.6552631190759709","0.30637813211845105","4","0.38477600607441154","0.05466970387243736","0.03389830508474576","0.3810483870967742","0.07087827426810478","0.01078582434514638","-1","0","9","-1","0.3619200823012057","1","0.2824601366742597","0.26879271070615035","8","31608","1756","0","0","3512","0.3862433862433862"
"P463_consistency_probe_roberta-base","finished","P463, probe","168","2022-01-11T14:07:51.000Z","roberta-base","P463","0.7913325379283431","0.18694523858692463","0.7386934673366834","2","0.7894472361809045","0.6582914572864321","0.009852216748768471","0.8792899408284024","0.8275862068965517","0.6354679802955665","-1","0","5","-1","0.34905179619541793","1","0.8492462311557789","-1","0","3980","398","0","0","0","0.2833333333333333"
"P449_consistency_probe_roberta-base","finished","P449, probe","455","2022-01-11T14:00:10.000Z","roberta-base","P449","0.4049031257084518","0.6603879077619722","0.4482087858648079","62","0.36301964367291","0.005025125628140704","0","0.35699026821742225","0.32459425717852686","0.004993757802746567","0.30318257956448913","6","11","0.8291457286432161","0.3546204113238408","1","0.4811557788944723","0.6344221105527639","4","87560","49352","4776","1592","3184","0.3686110499669822"
"P413_consistency_probe_roberta-base","finished","P413, probe","266","2022-01-11T13:55:35.000Z","roberta-base","P413","0.2835708010148725","0.5640165215491921","0.3942577030812325","6","0.2619747899159664","0.02205882352941177","0.0010504201680672268","0.21266846361185984","0.0063025210084033615","0","-1","0","6","-1","0.41949366295085966","1","0.3897058823529412","-1","0","19040","5712","0","0","0","0.29345955249569705"
"P407_consistency_probe_roberta-base","finished","P407, probe","760","2022-01-11T13:42:46.000Z","roberta-base","P407","0.612528395094026","0.6225674264551262","0.7598590454474788","50","0.5919405187581588","0.13825983313468415","0","0.6062789717656974","0.5822637106184364","0","-1","0","18","0.8478347238776321","0.3366274940174181","1","0.8081048867699643","0.7437425506555423","8","176190","38594","0","10068","6712","0.531558710440698"
